Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Gerald Green,2016,SG,BOS,"$1,410,598",$0,"$980,431",0.01,"$1,410,598","$1,410,598",1,"$1,410,598","$18,592,888",2017,2016,29
Joe Harris,2016,SG,BKN,"$980,431",$0,"$980,431",0.01,"$980,431","$1,015,838",2,"$2,031,676","$2,710,369",2018,2016,24
Sean Kilpatrick,2016,SG,BKN,"$980,431",$0,"$980,431",0.01,"$980,431","$750,951",3,"$2,252,852","$1,465,286",2018,2015,24
Brian Roberts,2016,PG,CHA,"$1,050,961",$0,"$980,431",0.01,"$1,050,961","$1,050,961",1,"$1,050,961","$7,900,377",2017,2016,30
James Jones,2016,SG,CLE,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$32,005,939",2017,2016,35
Beno Udrih,2016,PG,DET,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$43,272,950",2017,2016,33
David West,2016,PF,GSW,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$88,768,044",2017,2016,35
JaVale McGee,2016,C,GSW,"$1,403,611",$0,"$980,431",0.01,"$1,403,611","$1,403,611",1,"$1,403,611","$53,146,426",2017,2016,27
Ian Clark,2016,SG,GSW,"$1,015,696",$0,"$980,431",0.01,"$1,015,696","$1,015,696",1,"$1,015,696","$3,269,634",2017,2016,24
James McAdoo,2016,SF,GSW,"$980,431",$0,"$980,431",0.01,"$980,431","$980,431",1,"$980,431","$2,087,298",2017,2016,22
Brandon Bass,2016,PF,LAC,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$37,781,021",2017,2016,30
Raymond Felton,2016,PG,LAC,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$48,330,621",2017,2016,31
Alan Anderson,2016,SG,LAC,"$1,315,448",$0,"$980,431",0.01,"$1,315,448","$1,315,448",1,"$1,315,448","$9,165,830",2017,2016,33
Metta World Peace,2016,SF,LAL,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$83,305,694",2017,2016,36
Thomas Robinson,2016,PF,LAL,"$1,050,961",$0,"$980,431",0.01,"$1,050,961","$1,050,961",1,"$1,050,961","$12,611,749",2017,2016,24
JaMychal Green,2016,PF,MEM,"$980,431",$0,"$980,431",0.01,"$980,431","$653,262",3,"$1,959,785","$2,109,314",2017,2014,23
Jason Terry,2016,SG,MIL,"$1,551,659",$0,"$980,431",0.01,"$1,551,659","$1,551,659",1,"$1,551,659","$104,709,059",2017,2016,38
Sasha Vujacic,2016,SG,NYK,"$1,410,598",$0,"$980,431",0.01,"$1,410,598","$1,410,598",1,"$1,410,598","$15,917,208",2017,2016,31
Jerami Grant,2016,SF,OKC,"$980,431",$0,"$980,431",0.01,"$980,431","$1,058,669",4,"$4,234,674","$2,750,740",2018,2014,19
Damjan Rudez,2016,SF,ORL,"$980,431",$0,"$980,431",0.01,"$980,431","$980,431",1,"$980,431","$3,229,931",2017,2016,29
Ty Lawson,2016,PG,SAC,"$1,315,448",$0,"$980,431",0.01,"$1,315,448","$1,315,448",1,"$1,315,448","$43,003,415",2017,2016,28
Stephen Zimmerman,2016,C,ORL,"$950,000",$0,"$950,000",0.01,"$950,000","$992,750",3,"$2,978,250","$950,000",2019,2016,19
Andrew Harrison,2016,PG,MEM,"$945,000",$0,"$945,000",0.01,"$945,000","$994,269",3,"$2,982,807","$945,000",2019,2016,21
Raul Neto,2016,PG,UTA,"$877,800",$0,"$937,800",0.01,"$937,800","$910,849",3,"$2,732,546","$1,837,800",2018,2015,22
Malcolm Brogdon,2016,PG,MIL,"$925,000",$0,"$925,000",0.01,"$925,000","$1,260,854",3,"$3,782,562","$925,000",2019,2016,23
Tyler Ulis,2016,PG,PHX,"$918,369",$0,"$918,369",0.01,"$918,369","$1,000,000",4,"$4,000,000","$918,369",2020,2016,19
Christian Wood,2016,PF,CHA,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$944,691",2,"$1,889,382","$1,180,425",2018,2016,20
Cristiano Felicio,2016,PF,CHI,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$699,865",2,"$1,399,729","$1,399,729",2017,2015,22
Salah Mejri,2016,C,DAL,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$804,825",3,"$2,414,475","$1,399,729",2018,2015,28
Darrun Hilliard II,2016,SG,DET,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$829,794",3,"$2,489,382","$1,474,636",2018,2015,21
Josh Richardson,2016,SG,MIA,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$804,825",3,"$2,414,475","$1,399,729",0,2015,21
T.J. McConnell,2016,PG,PHI,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$1,117,908",4,"$4,471,631","$1,399,729",2019,2015,22
Alan Williams,2016,PF,PHX,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$479,017",2,"$958,033","$988,921",2017,2015,21
Pat Connaughton,2016,SG,POR,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$838,158",3,"$2,514,475","$1,499,729",2018,2015,21
Jonathon Simmons,2016,SF,SAS,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$699,865",2,"$1,399,729","$1,399,729",2017,2015,25
Norman Powell,2016,SG,TOR,"$874,636",$0,"$874,636",0.009000000000000001,"$874,636","$846,461",3,"$2,539,382","$1,524,636",0,2015,21
Paul Zipser,2016,SF,CHI,"$750,000",$0,"$750,000",0.008,"$750,000","$957,908",4,"$3,831,631","$750,000",2020,2016,21
Spencer Dinwiddie,2016,PG,BKN,"$726,672",$0,"$726,672",0.008,"$726,672","$967,911",3,"$2,903,733","$3,116,790",0,2016,22
Bobby Brown,2016,PG,HOU,"$680,534",$0,"$680,534",0.006999999999999999,"$680,534","$680,534",1,"$680,534","$934,293",2017,2016,31
A.J. Hammons,2016,C,DAL,"$650,000",$0,"$650,000",0.006999999999999999,"$650,000","$868,504",3,"$2,605,511","$650,000",2019,2016,23
Michael Gbinije,2016,SG,DET,"$650,000",$0,"$650,000",0.006999999999999999,"$650,000","$832,994",3,"$2,498,982","$650,000",2019,2016,23
Georges Niang,2016,PF,IND,"$650,000",$0,"$650,000",0.006999999999999999,"$650,000","$832,994",3,"$2,498,982","$650,000",2019,2016,22
Jake Layman,2016,SF,POR,"$600,000",$0,"$600,000",0.006,"$600,000","$1,152,521",3,"$3,457,562","$600,000",2019,2016,21
Joel Bolomboy,2016,PF,UTA,"$600,000",$0,"$600,000",0.006,"$600,000","$851,837",3,"$2,555,511","$600,000",2019,2016,21
Donatas Motiejunas,2016,PF,NOP,"$618,212",$0,"$576,724",0.006,"$618,212","$618,212",1,"$618,212","$7,174,457",2017,2016,25
Treveon Graham,2016,SG,CHA,"$543,471",$0,"$543,471",0.006,"$543,471","$543,471",1,"$543,471","$618,471",2018,2016,22
Kay Felder,2016,PG,CLE,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,20
Nicolas Brussino,2016,SF,DAL,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,22
Dorian Finney-Smith,2016,SF,DAL,"$543,471",$0,"$543,471",0.006,"$543,471","$1,133,678",3,"$3,401,033","$543,471",2019,2016,22
Patrick McCaw,2016,SG,GSW,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,20
Chinanu Onuaku,2016,C,HOU,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,19
Kyle Wiltjer,2016,PF,HOU,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,23
Diamond Stone,2016,C,LAC,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,18
Rodney McGruder,2016,SG,MIA,"$543,471",$0,"$543,471",0.006,"$543,471","$1,133,678",3,"$3,401,033","$543,471",2019,2016,24
Cheick Diallo,2016,PF,NOP,"$543,471",$0,"$543,471",0.006,"$543,471","$1,133,678",3,"$3,401,033","$543,471",2019,2016,19
Ron Baker,2016,SG,NYK,"$543,471",$0,"$543,471",0.006,"$543,471","$543,471",1,"$543,471","$543,471",2017,2016,22
Maurice N'dour,2016,PF,NYK,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$1,505,883",2018,2016,23
Marshall Plumlee,2016,PF,NYK,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,23
Semaj Christon,2016,PG,OKC,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,23
Derrick Jones Jr.,2016,SF,PHX,"$543,471",$0,"$543,471",0.006,"$543,471","$1,133,678",3,"$3,401,033","$543,471",2020,2016,18
Tim Quarterman,2016,PG,POR,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,21
Davis Bertans,2016,PF,SAS,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,23
Bryn Forbes,2016,SG,SAS,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,22
Fred VanVleet,2016,PG,TOR,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,21
Sheldon McClellan,2016,SG,WAS,"$543,471",$0,"$543,471",0.006,"$543,471","$724,360",2,"$1,448,720","$543,471",2018,2016,23
Daniel Ochefu,2016,SF,WAS,"$543,471",$0,"$543,471",0.006,"$543,471","$832,994",3,"$2,498,982","$543,471",2019,2016,22
Joel Anthony,2016,C,SAS,"$497,858",$0,"$346,034",0.004,"$497,858","$497,858",1,"$497,858","$22,675,548",2017,2016,33
Ryan Kelly,2016,PF,ATL,"$286,785",$0,"$286,785",0.003,"$286,785","$286,785",1,"$286,785","$4,569,443",2018,2016,24
Ronnie Price,2016,PG,PHX,"$438,115",$0,"$276,828",0.003,"$438,115","$438,115",1,"$438,115","$15,249,563",2017,2016,32
Deron Williams,2016,PG,CLE,"$410,733",$0,"$259,526",0.003,"$410,733","$410,733",1,"$410,733","$143,062,000",2017,2016,31
Isaiah Taylor,2016,PG,HOU,"$255,000",$0,"$255,000",0.003,"$255,000","$1,000,474",3,"$3,001,422","$305,000",2019,2016,21
Jose Calderon,2016,PG,ATL,"$392,478",$0,"$247,991",0.003,"$365,096","$392,478",1,"$392,478","$79,478,930",2017,2016,34
Norris Cole,2016,PG,OKC,"$288,131",$0,"$247,991",0.003,"$288,131","$288,131",1,"$288,131","$8,408,805",2017,2016,27
Jason Thompson,2016,PF,TOR,"$328,955",$0,"$245,177",0.003,"$328,955","$328,955",1,"$328,955","$33,488,964",2017,2016,29
Matt Barnes,2016,SF,GSW,"$383,351",$0,"$242,224",0.003,"$383,351","$383,351",1,"$383,351","$29,237,810",2017,2016,35
Derrick Williams,2016,PF,CLE,"$268,029",$0,"$230,690",0.002,"$268,029","$268,029",1,"$268,029","$29,262,875",2017,2016,24
Okaro White,2016,PF,MIA,"$210,995",$0,"$210,995",0.002,"$210,995","$761,803",2,"$1,523,606","$374,933",2018,2016,23
Yogi Ferrell,2016,PG,DAL,"$207,798",$0,"$207,798",0.002,"$207,798","$207,798",1,"$207,798","$442,067",2018,2016,22
Jordan Crawford,2016,SG,NOP,"$173,099",$0,"$173,099",0.002,"$173,099","$941,319",2,"$1,882,637","$5,540,156",2018,2016,27
Johnny O'Bryant,2016,PF,CHA,"$161,483",$0,"$161,483",0.002,"$161,483","$842,894",2,"$1,685,788","$1,837,230",2018,2016,22
Patricio Garino,2016,SF,ORL,"$150,000",$0,"$150,000",0.002,"$150,000","$731,306",2,"$1,462,611","$250,000",2018,2016,22
Chasson Randle,2016,PG,NYK,"$143,860",$0,"$143,860",0.002,"$143,860","$728,236",2,"$1,456,471","$541,171",2018,2016,22
Omri Casspi,2016,SF,MIN,"$185,710",$0,"$138,414",0.001,"$185,710","$185,710",1,"$185,710","$13,775,901",2017,2016,27
Briante Weber,2016,PG,CHA,"$128,623",$0,"$128,623",0.001,"$128,623","$800,003",2,"$1,600,005","$715,941",2018,2016,23
Marcus Georges-Hunt,2016,SG,ORL,"$100,000",$0,"$100,000",0.001,"$100,000","$706,306",2,"$1,412,611","$156,969",2018,2016,21
Shawn Long,2016,PF,PHI,"$89,513",$0,"$89,513",0.001,"$89,513","$982,358",3,"$2,947,075","$186,482",2019,2016,22
Wayne Selden,2016,SG,MEM,"$83,119",$0,"$83,119",0.001,"$83,119","$697,865",2,"$1,395,730","$115,088",2018,2016,21
Troy Williams,2016,SF,HOU,"$76,725",$0,"$76,725",0.001,"$76,725","$76,725",1,"$76,725","$652,165",2017,2016,21
Archie Goodwin,2016,SG,BKN,"$75,000",$0,"$75,000",0.001,"$75,000","$815,501",2,"$1,631,002","$5,721,018",2018,2016,21
David Nwaba,2016,SG,LAL,"$73,528",$0,"$73,528",0.001,"$73,528","$693,070",2,"$1,386,139","$137,466",2018,2016,22
Briante Weber,2016,PG,GSW,"$61,739",$0,"$61,739",0.001,"$61,739","$5,145",10,"$51,449","$715,941",0,2016,23
Hollis Thompson,2016,SG,NOP,"$59,747",$0,"$59,747",0.001,"$59,747","$5,975",10,"$59,747","$3,464,128",0,2016,24
Gary Neal,2016,PG,ATL,"$72,193",$0,"$57,672",0.001,"$72,193","$7,219",10,"$72,193","$10,704,056",0,2016,31
Quincy Acy,2016,PF,BKN,"$61,821",$0,"$57,672",0.001,"$61,821","$6,182",10,"$61,821","$6,315,158",0,2016,25
Quincy Acy,2016,PF,BKN,"$61,821",$0,"$57,672",0.001,"$61,821","$6,182",10,"$61,821","$6,315,158",0,2016,25
Archie Goodwin,2016,SG,BKN,"$59,747",$0,"$57,672",0.001,"$59,747","$5,975",10,"$59,747","$5,721,018",0,2016,21
Archie Goodwin,2016,SG,BKN,"$59,747",$0,"$57,672",0.001,"$59,747","$5,975",10,"$59,747","$5,721,018",0,2016,21
Ray McCallum,2016,PG,CHA,"$59,747",$0,"$57,672",0.001,"$59,747","$59,747",1,"$59,747","$2,475,539",0,2016,24
Ray McCallum,2016,PG,CHA,"$59,747",$0,"$57,672",0.001,"$59,747","$5,975",10,"$59,747","$2,475,539",0,2016,24
Johnny O'Bryant,2016,PF,CHA,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$1,837,230",0,2016,22
Johnny O'Bryant,2016,PF,CHA,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$1,837,230",0,2016,22
Briante Weber,2016,PG,CHA,"$51,449",$0,"$57,672",0.001,"$51,449","$5,145",10,"$51,449","$715,941",0,2016,23
Derrick Williams,2016,PF,CLE,"$67,007",$0,"$57,672",0.001,"$67,007","$6,701",10,"$67,007","$29,262,875",0,2016,24
Derrick Williams,2016,PF,CLE,"$67,007",$0,"$57,672",0.001,"$67,007","$6,701",10,"$67,007","$29,262,875",0,2016,24
Manny Harris,2016,SG,DAL,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$115,344",0,2016,26
Manny Harris,2016,SG,DAL,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$115,344",0,2016,26
Alonzo Gee,2016,SF,DEN,"$77,379",$0,"$57,672",0.001,"$77,379","$77,379",1,"$77,379","$12,533,364",0,2016,28
Johnny O'Bryant,2016,PF,DEN,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$1,837,230",0,2016,22
Johnny O'Bryant,2016,PF,DEN,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$1,837,230",0,2016,22
Toney Douglas,2016,SG,MEM,"$77,379",$0,"$57,672",0.001,"$77,379","$7,738",10,"$77,379","$9,325,562",0,2016,29
Toney Douglas,2016,SG,MEM,"$77,379",$0,"$57,672",0.001,"$77,379","$7,738",10,"$77,379","$9,325,562",0,2016,29
Lance Stephenson,2016,SG,MIN,"$72,193",$0,"$57,672",0.001,"$72,193","$7,219",10,"$72,193","$26,640,574",0,2016,25
Lance Stephenson,2016,SG,MIN,"$72,193",$0,"$57,672",0.001,"$72,193","$7,219",10,"$72,193","$26,640,574",0,2016,25
Jarrett Jack,2016,PG,NOP,"$91,274",$0,"$57,672",0.001,"$91,274","$9,127",10,"$91,274","$45,654,678",0,2016,32
Reggie Williams,2016,SF,NOP,"$72,193",$0,"$57,672",0.001,"$72,193","$7,219",10,"$72,193","$6,115,903",2016,2016,29
Jordan Crawford,2016,SG,NOP,"$61,821",$0,"$57,672",0.001,"$61,821","$6,182",10,"$61,821","$5,540,156",0,2016,27
Hollis Thompson,2016,SG,NOP,"$59,747",$0,"$57,672",0.001,"$59,747","$5,975",10,"$59,747","$3,464,128",0,2016,24
Justin Harper,2016,SF,PHI,"$59,747",$0,"$57,672",0.001,"$59,747","$5,975",10,"$59,747","$550,300",0,2016,26
Ronnie Price,2016,PG,PHX,"$91,274",$0,"$57,672",0.001,"$91,274","$9,127",10,"$91,274","$15,249,563",0,2016,32
Ronnie Price,2016,PG,PHX,"$91,274",$0,"$57,672",0.001,"$91,274","$9,127",10,"$91,274","$15,249,563",0,2016,32
Jarell Eddie,2016,SF,PHX,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$881,903",0,2016,24
Jarell Eddie,2016,SF,PHX,"$57,672",$0,"$57,672",0.001,"$57,672","$5,767",10,"$57,672","$881,903",0,2016,24
Joel Anthony,2016,C,SAS,"$82,976",$0,"$57,672",0.001,"$82,976","$8,298",10,"$82,976","$22,675,548",0,2016,33
Joel Anthony,2016,C,SAS,"$82,976",$0,"$57,672",0.001,"$82,976","$8,298",10,"$82,976","$22,675,548",0,2016,33
Lamar Patterson,2016,SG,ATL,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$753,716",0,2016,24
Lamar Patterson,2016,SG,ATL,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$753,716",0,2016,24
Briante Weber,2016,PG,CHA,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$715,941",2016,51449,"49,456"
Briante Weber,2016,PG,GSW,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$715,941",0,2016,23
Axel Toupane,2016,SG,MIL,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$225,726",0,2016,23
Anthony Brown,2016,SF,ORL,"$51,449",$0,"$51,449",0.001,"$51,449","$5,145",10,"$51,449","$1,734,128",0,2016,23
Jarrod Uthoff,2016,PF,DAL,"$47,953",$0,"$47,953",0.001,"$47,953","$680,282",2,"$1,360,564","$161,891",2018,2016,22
Gary Payton II,2016,PG,MIL,"$35,166",$0,"$35,166",0.0,"$35,166","$673,889",2,"$1,347,777","$578,637",2018,2016,23
Mike Tobey,2016,C,CHA,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$138,938",0,2016,21
Mike Tobey,2016,C,CHA,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$138,938",0,2016,21
Ben Bentil,2016,PF,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$331,969",0,2016,20
Quinn Cook,2016,PG,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$111,891",0,2016,22
Yogi Ferrell,2016,PG,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$442,067",0,2016,22
Pierre Jackson,2016,PG,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$1,255,498",0,2016,24
Pierre Jackson,2016,PG,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$1,255,498",0,2016,24
Jarrod Uthoff,2016,PF,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$161,891",0,2016,22
Jarrod Uthoff,2016,PF,DAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$161,891",0,2016,22
Troy Williams,2016,SF,HOU,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$652,165",0,2016,21
David Nwaba,2016,SG,LAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$137,466",0,2016,22
David Nwaba,2016,SG,LAL,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$137,466",0,2016,22
Marcus Georges-Hunt,2016,SG,MIA,"$31,969",$0,"$31,969",0.0,"$31,969","$31,969",1,"$31,969","$156,969",0,2016,21
Okaro White,2016,PF,MIA,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$374,933",0,2016,23
Okaro White,2016,PF,MIA,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$374,933",0,2016,23
Quinn Cook,2016,PG,NOP,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$111,891",0,2016,22
Quinn Cook,2016,PG,NOP,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$111,891",0,2016,22
Wayne Selden,2016,SG,NOP,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$115,088",0,2016,21
Shawn Long,2016,PF,PHI,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$186,482",0,2016,22
Alex Poythress,2016,SF,PHI,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$73,744",0,2016,22
Chasson Randle,2016,PG,PHI,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$541,171",0,2016,22
Chasson Randle,2016,PG,PHI,"$31,969",$0,"$31,969",0.0,"$31,969","$3,197",10,"$31,969","$541,171",0,2016,22
Axel Toupane,2016,SG,NOP,"$25,725",$0,"$25,725",0.0,"$25,725","$748,554",2,"$1,497,107","$225,726",2018,2016,23
Elijah Millsap,2016,SG,PHX,"$23,069",$0,"$23,069",0.0,"$23,069","$773,687",2,"$1,547,374","$687,364",2018,2016,28
Quinn Cook,2016,PG,NOP,"$15,984",$0,"$15,984",0.0,"$15,984","$664,298",2,"$1,328,595","$111,891",2018,2016,22
Alex Poythress,2016,SF,PHI,"$6,394",$0,"$6,394",0.0,"$6,394","$6,394",1,"$6,394","$73,744",2017,2016,22
Dahntay Jones,2016,SF,CLE,"$9,127",$0,"$5,767",0.0,"$9,127","$9,127",1,"$9,127","$17,780,711",2017,2016,35
Walter Tavares,2016,C,CLE,"$5,145",$0,"$5,145",0.0,"$5,145","$1,025,682",3,"$3,077,047","$2,005,145",2019,2016,23
LeBron James,2017,SF,CLE,"$33,285,709",$0,"$33,285,709",0.336,"$33,285,709","$33,285,709",3,"$99,857,127","$233,893,001",2018,2016,31
Paul Millsap,2017,PF,DEN,"$30,769,231",$0,"$30,769,231",0.311,"$30,769,231","$30,000,000",3,"$90,000,000","$121,314,973",2020,2017,31
Kyle Lowry,2017,PG,TOR,"$28,703,704",$0,"$28,703,704",0.29,"$28,703,704","$33,333,333",3,"$100,000,000","$92,339,670",2020,2017,30
Russell Westbrook,2017,PG,OKC,"$28,530,608",$0,"$28,530,608",0.28800000000000003,"$28,530,608","$28,530,608",3,"$85,591,823","$131,254,408",0,2016,27
James Harden,2017,SG,HOU,"$28,299,399",$0,"$28,299,399",0.28600000000000003,"$28,299,399","$29,491,212",4,"$117,964,846","$116,861,397",2020,2016,26
Al Horford,2017,C,BOS,"$27,734,405",$0,"$27,734,405",0.28,"$27,734,405","$28,331,557",4,"$113,326,228","$129,458,059",2019,2016,29
Carmelo Anthony,2017,SF,OKC,"$26,243,760",$0,"$26,243,760",0.265,"$26,243,760","$24,812,936",5,"$124,064,681","$227,364,419",2019,2014,29
Damian Lillard,2017,PG,POR,"$26,153,057",$0,"$26,153,057",0.264,"$26,153,057","$27,977,689",5,"$139,888,445","$64,326,648",0,2016,25
Kevin Durant,2017,SF,GSW,"$25,000,000",$0,"$25,000,000",0.252,"$25,000,000","$25,625,000",2,"$51,250,000","$157,183,333",2018,2017,28
Chris Paul,2017,PG,HOU,"$24,268,959",$0,"$24,599,459",0.248,"$24,268,959","$21,468,695",5,"$107,343,477","$186,796,628",2018,2013,27
Hassan Whiteside,2017,C,MIA,"$23,775,506",$0,"$23,775,506",0.24,"$23,775,506","$24,604,885",4,"$98,419,538","$49,157,652",2020,2016,26
Dwight Howard,2017,C,CHA,"$23,500,000",$0,"$23,500,000",0.237,"$23,500,000","$23,500,000",3,"$70,500,000","$210,235,761",2019,2016,30
Harrison Barnes,2017,SF,DAL,"$23,112,004",$0,"$23,112,004",0.233,"$23,112,004","$23,609,631",4,"$94,438,525","$57,874,032",2019,2016,23
Chandler Parsons,2017,SF,MEM,"$23,112,004",$0,"$23,112,004",0.233,"$23,112,004","$23,609,631",4,"$94,438,523","$77,789,150",2020,2016,27
J.J. Redick,2017,SG,PHI,"$23,000,000",$0,"$23,000,000",0.23199999999999998,"$23,000,000","$23,000,000",1,"$23,000,000","$78,516,715",2018,2017,32
Kevin Love,2017,C,CLE,"$22,642,350",$0,"$22,642,350",0.22899999999999998,"$22,642,350","$22,642,350",5,"$113,211,750","$121,491,994",0,2015,26
DeAndre Jordan,2017,C,LAC,"$22,642,350",$0,"$22,642,350",0.22899999999999998,"$22,642,350","$21,904,013",4,"$87,616,050","$106,710,175",2019,2015,26
Brook Lopez,2017,C,LAL,"$22,642,350",$0,"$22,642,350",0.22899999999999998,"$22,642,350","$21,165,675",3,"$63,497,025","$117,423,487",2018,2015,26
Marc Gasol,2017,C,MEM,"$22,642,350",$0,"$22,642,350",0.22899999999999998,"$22,642,350","$22,642,350",5,"$113,211,750","$128,292,718",2020,2015,29
Steven Adams,2017,C,OKC,"$22,471,910",$0,"$22,471,910",0.22699999999999998,"$22,471,910","$25,000,000",4,"$100,000,000","$32,167,307",0,2017,23
Rudy Gobert,2017,C,UTA,"$21,224,719",$0,"$21,974,719",0.222,"$21,974,719","$25,500,000",4,"$102,000,000","$27,478,086",0,2017,24
LaMarcus Aldridge,2017,PF,SAS,"$21,461,010",$0,"$21,461,010",0.217,"$21,461,010","$21,018,008",4,"$84,072,030","$146,393,873",0,2015,29
Enes Freedom,2017,C,NYK,"$17,884,175",$0,"$20,566,801",0.20800000000000002,"$20,566,801","$17,515,007",4,"$70,060,026","$74,898,362",2019,2015,22
Danilo Gallinari,2017,SF,LAC,"$20,559,599",$0,"$20,559,599",0.207,"$20,559,599","$21,587,579",3,"$64,762,737","$92,690,080",2020,2017,28
Serge Ibaka,2017,PF,TOR,"$20,061,728",$0,"$20,061,728",0.20199999999999999,"$20,061,728","$21,666,667",3,"$65,000,000","$74,876,033",2020,2017,27
George Hill,2017,PG,CLE,"$20,000,000",$0,"$20,000,000",0.20199999999999999,"$7,118,644","$19,000,000",3,"$57,000,000","$64,924,305",2020,2017,30
Ryan Anderson,2017,PF,HOU,"$19,578,454",$0,"$19,578,454",0.198,"$19,578,454","$20,000,000",4,"$80,000,000","$78,072,406",2020,2016,27
Paul George,2017,SF,OKC,"$19,508,958",$0,"$19,508,958",0.19699999999999998,"$19,508,958","$18,314,532",5,"$91,572,660","$80,900,789",2018,2014,23
